,title,soc_code,section_body
13,Agricultural and Food Scientists,19-1011,overall employment agricultural food scientist project grow percent fast average occupation opening agricultural food scientist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment employment agricultural food scientist project grow research agricultural production method technique continue need address challenge increase demand water resource combat pest pathogen change climate weather pattern expect create job worker demand agricultural product include biofuel also expect contribute employment growth projected employment agricultural food scientist vary occupation see table animal scientist expect need help research sustainable farming method especially livestock production however small occupation fast growth result new job projection decade food scientist technologist expect need improve food process technique ensure food product safe ship efficiently soil plant scientist continue need investigate way enhance soil quality purpose crop yield expand environmentally friendly farming practice
14,Agricultural and Food Scientists,19-1012,overall employment agricultural food scientist project grow percent fast average occupation opening agricultural food scientist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment employment agricultural food scientist project grow research agricultural production method technique continue need address challenge increase demand water resource combat pest pathogen change climate weather pattern expect create job worker demand agricultural product include biofuel also expect contribute employment growth projected employment agricultural food scientist vary occupation see table animal scientist expect need help research sustainable farming method especially livestock production however small occupation fast growth result new job projection decade food scientist technologist expect need improve food process technique ensure food product safe ship efficiently soil plant scientist continue need investigate way enhance soil quality purpose crop yield expand environmentally friendly farming practice
15,Agricultural and Food Scientists,19-1013,overall employment agricultural food scientist project grow percent fast average occupation opening agricultural food scientist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment employment agricultural food scientist project grow research agricultural production method technique continue need address challenge increase demand water resource combat pest pathogen change climate weather pattern expect create job worker demand agricultural product include biofuel also expect contribute employment growth projected employment agricultural food scientist vary occupation see table animal scientist expect need help research sustainable farming method especially livestock production however small occupation fast growth result new job projection decade food scientist technologist expect need improve food process technique ensure food product safe ship efficiently soil plant scientist continue need investigate way enhance soil quality purpose crop yield expand environmentally friendly farming practice
16,Agricultural Engineers,17-2021,employment agricultural engineer project show little no change despite limited employment growth opening agricultural engineer project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment farms continue need agricultural engineer design efficient machinery equipment building help reduce environmental damage agricultural engineer expect continue work project alternative energy biofuel precision automate farming technology irrigation spray harvesting worker safety system addition strong global competition far support demand worker farmer seek way reduce cost increase production however since many agricultural engineer employ government university funding constraint impact employment
17,Agricultural Workers,45-2021,overall employment agricultural worker project show little no change despite limited employment growth opening agricultural worker project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment agricultural worker vary occupation see table despite increase demand crop agricultural product employment growth expect limit agricultural establishment continue use technology increase farmworker productivity employment agricultural equipment operator project grow much fast average occupation fast type agricultural worker increased use mechanization farm expect lead job agricultural equipment operator relative farmworker laborer small farm sell product directly consumer venue farmer market might create opportunity agricultural worker
18,Agricultural Workers,45-2091,overall employment agricultural worker project show little no change despite limited employment growth opening agricultural worker project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment agricultural worker vary occupation see table despite increase demand crop agricultural product employment growth expect limit agricultural establishment continue use technology increase farmworker productivity employment agricultural equipment operator project grow much fast average occupation fast type agricultural worker increased use mechanization farm expect lead job agricultural equipment operator relative farmworker laborer small farm sell product directly consumer venue farmer market might create opportunity agricultural worker
19,Agricultural Workers,45-2092,overall employment agricultural worker project show little no change despite limited employment growth opening agricultural worker project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment agricultural worker vary occupation see table despite increase demand crop agricultural product employment growth expect limit agricultural establishment continue use technology increase farmworker productivity employment agricultural equipment operator project grow much fast average occupation fast type agricultural worker increased use mechanization farm expect lead job agricultural equipment operator relative farmworker laborer small farm sell product directly consumer venue farmer market might create opportunity agricultural worker
20,Agricultural Workers,45-2093,overall employment agricultural worker project show little no change despite limited employment growth opening agricultural worker project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment agricultural worker vary occupation see table despite increase demand crop agricultural product employment growth expect limit agricultural establishment continue use technology increase farmworker productivity employment agricultural equipment operator project grow much fast average occupation fast type agricultural worker increased use mechanization farm expect lead job agricultural equipment operator relative farmworker laborer small farm sell product directly consumer venue farmer market might create opportunity agricultural worker
21,Agricultural Workers,45-2099,overall employment agricultural worker project show little no change despite limited employment growth opening agricultural worker project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment agricultural worker vary occupation see table despite increase demand crop agricultural product employment growth expect limit agricultural establishment continue use technology increase farmworker productivity employment agricultural equipment operator project grow much fast average occupation fast type agricultural worker increased use mechanization farm expect lead job agricultural equipment operator relative farmworker laborer small farm sell product directly consumer venue farmer market might create opportunity agricultural worker
22,Aircraft and Avionics Equipment Mechanics and Technicians,49-2091,overall employment aircraft avionic equipment mechanic technician project grow percent fast average occupation opening aircraft avionic equipment mechanic technician project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment air traffic increase worker expect need maintain grow number aircraft
23,Aircraft and Avionics Equipment Mechanics and Technicians,49-3011,overall employment aircraft avionic equipment mechanic technician project grow percent fast average occupation opening aircraft avionic equipment mechanic technician project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment air traffic increase worker expect need maintain grow number aircraft
24,Airline and Commercial Pilots,53-2011,overall employment airline commercial pilot project grow percent fast average occupation opening airline commercial pilot project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment employment airline commercial pilot project grow demand business leisure travel recover pandemic number commercial pilot project increase industry ambulance service worker need transfer patient air healthcare facility
25,Airline and Commercial Pilots,53-2012,overall employment airline commercial pilot project grow percent fast average occupation opening airline commercial pilot project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment employment airline commercial pilot project grow demand business leisure travel recover pandemic number commercial pilot project increase industry ambulance service worker need transfer patient air healthcare facility
26,Air Traffic Controllers,53-2021,employment air traffic controller project show little no change despite limited employment growth opening air traffic controller project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment although air traffic project increase come satellite base next generation air transportation system nextgen expect allow individual controller handle air traffic result demand additional air traffic controller somewhat limited projection decade
27,Animal Care and Service Workers,39-2011,overall employment animal care service worker project grow percent much fast average occupation opening animal care service worker project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment many people consider pet part family willing pay pet care pet owner past household include companion pet employment animal care service worker continue grow
28,Animal Care and Service Workers,39-2021,overall employment animal care service worker project grow percent much fast average occupation opening animal care service worker project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment many people consider pet part family willing pay pet care pet owner past household include companion pet employment animal care service worker continue grow
29,Announcers and DJs,27-2091,overall employment announcer djs project decline percent despite decline employment opening announcer djs project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment announcer djs vary occupation see table continue consolidation radio television station limit employment growth broadcast announcer radio disc jockey djs addition air radio broadcast continue face competition increase number online satellite radio station listener tune station personalize reduce number listener traditional radio broadcast decrease demand radio djs djs exception radio djs demand play prerecorded music live audience venue event club party wedding reception
30,Announcers and DJs,27-3011,overall employment announcer djs project decline percent despite decline employment opening announcer djs project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment announcer djs vary occupation see table continue consolidation radio television station limit employment growth broadcast announcer radio disc jockey djs addition air radio broadcast continue face competition increase number online satellite radio station listener tune station personalize reduce number listener traditional radio broadcast decrease demand radio djs djs exception radio djs demand play prerecorded music live audience venue event club party wedding reception
31,Anthropologists and Archeologists,19-3091,employment anthropologist archeologist project grow percent fast average occupation opening anthropologist archeologist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment corporations continue use anthropological research gain well understanding consumer demand within specific culture social group anthropologist also need analyze market allow business serve client well target new customer demographic group archeologist need ensure builder museum organization comply federal regulation pertain preservation handling archeological historical artifact anthropological archeological research depend research funding federal budgetary decision affect rate employment growth research
32,"Arbitrators, Mediators, and Conciliators",23-1022,employment arbitrator mediator conciliator project grow percent fast average occupation opening arbitrator mediator conciliator project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment alternative method resolve dispute arbitrator mediator conciliator provide often quick less expensive trial litigation addition many contract employment real estate include clause require mediation arbitration resolve complaint dispute however alternative dispute resolution government contingent available fund local government budget affect public sector employment arbitrator mediator conciliator also case industry litigation unavoidable benefit prefer alternative resolve conflict
33,Architects,17-1011,employment architect project grow percent slow average occupation despite limited employment growth opening architect project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment architects expect need make plan design construction renovation home school healthcare facility structure particularly area sustainable design however improve build information model bim software measure technology expect increase architect productivity thereby limit employment growth worker
34,Architectural and Engineering Managers,11-9041,employment architectural engineering manager project grow percent slow average occupation despite limited employment growth opening architectural engineering manager project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment employment growth largely reflect growth industry manager employ demand civil engineering service expect continue nation age infrastructure require expansion repair mechanical electrical engineering service also need project wind turbine farm renewable energy construction design
35,"Archivists, Curators, and Museum Workers",25-4011,overall employment archivist curator museum worker project grow percent much fast average occupation opening archivist curator museum worker project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment archivist curator museum worker vary occupation see table demand archivist expect increase public private organization information record need organize make accessible particular grow use electronic record create job archivist continue public interest museum cultural center expect increase demand curator museum technician conservator however small occupation projection decade fast growth expect result new job curator new job museum technician conservator archive museum receive federal fund affect change federal budget turn might impact employment archivist curator museum technician conservator
36,"Archivists, Curators, and Museum Workers",25-4012,overall employment archivist curator museum worker project grow percent much fast average occupation opening archivist curator museum worker project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment archivist curator museum worker vary occupation see table demand archivist expect increase public private organization information record need organize make accessible particular grow use electronic record create job archivist continue public interest museum cultural center expect increase demand curator museum technician conservator however small occupation projection decade fast growth expect result new job curator new job museum technician conservator archive museum receive federal fund affect change federal budget turn might impact employment archivist curator museum technician conservator
37,"Archivists, Curators, and Museum Workers",25-4013,overall employment archivist curator museum worker project grow percent much fast average occupation opening archivist curator museum worker project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment archivist curator museum worker vary occupation see table demand archivist expect increase public private organization information record need organize make accessible particular grow use electronic record create job archivist continue public interest museum cultural center expect increase demand curator museum technician conservator however small occupation projection decade fast growth expect result new job curator new job museum technician conservator archive museum receive federal fund affect change federal budget turn might impact employment archivist curator museum technician conservator
38,Art Directors,27-1011,employment art director project grow percent fast average occupation opening art director project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment traditional print publication lose ground medium form art director shift focus design website mobile platform shift focus expect increase demand art director
39,Assemblers and Fabricators,51-2011,overall employment assembler fabricator project decline percent despite decline employment opening assembler fabricator project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment assembler fabricator vary occupation see table general employment assembler fabricator project decline limited growth many manufacturing sector expect become efficient able produce worker manufacturing industry improve process tool case automation reduce job growth increasingly new advance robotic enable machinery perform complex delicate task previously perform worker addition assembler fabricator increase efficiency work alongside robot also know collaborative robotic reduce demand assembler fabricator change cost operation united states abroad encourage manufacturer bring back production previously send offshore however new facility united states likely incorporate automation technology require less labor overall require worker high level skill
40,Assemblers and Fabricators,51-2021,overall employment assembler fabricator project decline percent despite decline employment opening assembler fabricator project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment assembler fabricator vary occupation see table general employment assembler fabricator project decline limited growth many manufacturing sector expect become efficient able produce worker manufacturing industry improve process tool case automation reduce job growth increasingly new advance robotic enable machinery perform complex delicate task previously perform worker addition assembler fabricator increase efficiency work alongside robot also know collaborative robotic reduce demand assembler fabricator change cost operation united states abroad encourage manufacturer bring back production previously send offshore however new facility united states likely incorporate automation technology require less labor overall require worker high level skill
41,Assemblers and Fabricators,51-2028,overall employment assembler fabricator project decline percent despite decline employment opening assembler fabricator project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment assembler fabricator vary occupation see table general employment assembler fabricator project decline limited growth many manufacturing sector expect become efficient able produce worker manufacturing industry improve process tool case automation reduce job growth increasingly new advance robotic enable machinery perform complex delicate task previously perform worker addition assembler fabricator increase efficiency work alongside robot also know collaborative robotic reduce demand assembler fabricator change cost operation united states abroad encourage manufacturer bring back production previously send offshore however new facility united states likely incorporate automation technology require less labor overall require worker high level skill
42,Assemblers and Fabricators,51-2031,overall employment assembler fabricator project decline percent despite decline employment opening assembler fabricator project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment assembler fabricator vary occupation see table general employment assembler fabricator project decline limited growth many manufacturing sector expect become efficient able produce worker manufacturing industry improve process tool case automation reduce job growth increasingly new advance robotic enable machinery perform complex delicate task previously perform worker addition assembler fabricator increase efficiency work alongside robot also know collaborative robotic reduce demand assembler fabricator change cost operation united states abroad encourage manufacturer bring back production previously send offshore however new facility united states likely incorporate automation technology require less labor overall require worker high level skill
43,Assemblers and Fabricators,51-2041,overall employment assembler fabricator project decline percent despite decline employment opening assembler fabricator project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment assembler fabricator vary occupation see table general employment assembler fabricator project decline limited growth many manufacturing sector expect become efficient able produce worker manufacturing industry improve process tool case automation reduce job growth increasingly new advance robotic enable machinery perform complex delicate task previously perform worker addition assembler fabricator increase efficiency work alongside robot also know collaborative robotic reduce demand assembler fabricator change cost operation united states abroad encourage manufacturer bring back production previously send offshore however new facility united states likely incorporate automation technology require less labor overall require worker high level skill
44,Assemblers and Fabricators,51-2051,overall employment assembler fabricator project decline percent despite decline employment opening assembler fabricator project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment assembler fabricator vary occupation see table general employment assembler fabricator project decline limited growth many manufacturing sector expect become efficient able produce worker manufacturing industry improve process tool case automation reduce job growth increasingly new advance robotic enable machinery perform complex delicate task previously perform worker addition assembler fabricator increase efficiency work alongside robot also know collaborative robotic reduce demand assembler fabricator change cost operation united states abroad encourage manufacturer bring back production previously send offshore however new facility united states likely incorporate automation technology require less labor overall require worker high level skill
45,Assemblers and Fabricators,51-2061,overall employment assembler fabricator project decline percent despite decline employment opening assembler fabricator project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment assembler fabricator vary occupation see table general employment assembler fabricator project decline limited growth many manufacturing sector expect become efficient able produce worker manufacturing industry improve process tool case automation reduce job growth increasingly new advance robotic enable machinery perform complex delicate task previously perform worker addition assembler fabricator increase efficiency work alongside robot also know collaborative robotic reduce demand assembler fabricator change cost operation united states abroad encourage manufacturer bring back production previously send offshore however new facility united states likely incorporate automation technology require less labor overall require worker high level skill
46,Assemblers and Fabricators,51-2090,overall employment assembler fabricator project decline percent despite decline employment opening assembler fabricator project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment assembler fabricator vary occupation see table general employment assembler fabricator project decline limited growth many manufacturing sector expect become efficient able produce worker manufacturing industry improve process tool case automation reduce job growth increasingly new advance robotic enable machinery perform complex delicate task previously perform worker addition assembler fabricator increase efficiency work alongside robot also know collaborative robotic reduce demand assembler fabricator change cost operation united states abroad encourage manufacturer bring back production previously send offshore however new facility united states likely incorporate automation technology require less labor overall require worker high level skill
47,Athletes and Sports Competitors,27-2021,employment athlete sport competitor project grow percent much fast average occupation opening athlete sport competitor project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment much project employment growth occupation due recovery covid recession geographic shift population lead increase number professional sport team professional sport league expand new united states form new team job opportunity prospective professional athlete employment growth also stem increase public interest professional sport expansion rare professional sport league form new team costly risky however several league discuss future expansion plan could affect demand athlete sport competitor projection decade interim rule change college sport legislation image likeness nil policy many allow student athlete sign endorsement result increase self employment athlete sport competitor projection decade
48,Athletic Trainers,29-9091,employment athletic trainer project grow percent much fast average occupation opening athletic trainer project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment project employment growth occupation due recovery covid recession sport program age level continue create demand athletic trainer high level participation child youth individual team sport athletic trainer need manage emergency non emergency situation arise popularity college sport continue participation student athlete increase demand worker help athlete prevent recover injury perform high level meanwhile grow number middle aged old people remain physically active continue activity likely lead increase athletic relate injury sprain athletic trainer need provide sophisticated treatment injury prevention detection
49,"Atmospheric Scientists, Including Meteorologists",19-2021,employment atmospheric scientist include meteorologist project grow percent fast average occupation opening atmospheric scientist include meteorologist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment new type computer model vastly improve accuracy forecast allow atmospheric scientist tailor forecast specific purpose support demand atmospheric scientist business require specialized weather information business increasingly rely time delivery avoid expense incur traditional inventory management method severe weather interrupt ground air transportation delay inventory delivery business begin maintain forecasting team around clock advise delivery personnel availability help stay schedule addition severe weather pattern become widely recognizable industry become increasingly concerned impact create demand work atmospheric science utility continue adopt wind solar power depend heavily weather forecasting arrange buy selling power
50,Audiologists,29-1181,employment audiologist project grow percent fast average occupation opening audiologist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment health problem prevalent old age group age baby boom population continue increase demand healthcare service include hear loss balance disorder large number old people create increase demand audiologist early identification diagnosis hearing disorder infant also support employment growth grow awareness regard advance hear aid technology small size reduce feedback make device appealing mean treat auditory loss lead demand audiologist
51,Automotive Body and Glass Repairers,49-3021,overall employment automotive body glass repairer project grow percent slow average occupation despite limited employment growth opening automotive body glass repairer project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment new vehicle get safe help reduce car accident turn need repair old vehicle modern safety feature continue need repair create demand worker
52,Automotive Body and Glass Repairers,49-3022,overall employment automotive body glass repairer project grow percent slow average occupation despite limited employment growth opening automotive body glass repairer project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment new vehicle get safe help reduce car accident turn need repair old vehicle modern safety feature continue need repair create demand worker
53,Automotive Service Technicians and Mechanics,49-3023,employment automotive service technician mechanic project show little no change despite limited employment growth opening automotive service technician mechanic project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment number vehicle already use expect continue rise service technician need perform basic maintenance repair task replace brake pad change oil increasingly however new vehicle build interconnected sensor camera instrument allow predictive maintenance remote diagnosis thus reduce maintenance workhour additionally increase prevalence electric vehicle marketplace limit future demand automotive service technician mechanic vehicle require less maintenance repair
